 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| 19.0/(FRExt)| 10-Ja | 11:03 |                        foreman_qcif.yuv|  300 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 39.801| 43.121| 44.646| 38.666| 41.894| 42.863|   2857| 123027|  40102|   166002|          49578   |          16319   |
| 19.0/(FRExt)| 10-Ja | 11:06 |                        foreman_qcif.yuv|  300 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 39.801| 43.121| 44.646| 39.590| 42.370| 43.419|   2857| 145622|  59478|   207973|          49246   |          15923   |
| 19.0/(FRExt)| 10-Ja | 11:12 |                        foreman_qcif.yuv|  300 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 39.801| 43.121| 44.646| 38.666| 41.894| 42.863|   2857| 123027|  40102|   166002|          53085   |          16896   |
| 19.0/(FRExt)| 10-Ja | 11:23 |                          akiyo_qcif.yuv|  300 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 41.625| 43.300| 44.509| 48.667| 49.624| 50.026|   2364| 128425|  35145|   165950|          48392   |          11853   |
| 19.0/(FRExt)| 10-Ja | 11:24 |                          akiyo_qcif.yuv|  300 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 41.625| 43.300| 44.509| 49.808| 50.507| 50.884|   2364| 150282|  55387|   208049|          50916   |          12848   |
| 19.0/(FRExt)| 10-Ja | 12:55 |                        foreman_qcif.yuv|  300 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 39.801| 43.121| 44.646| 39.590| 42.370| 43.419|   2857| 145622|  59478|   207973|          49426   |          15938   |
| 19.0/(FRExt)| 10-Ja | 13:07 |                        foreman_qcif.yuv|  300 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 39.801| 43.121| 44.646| 38.666| 41.894| 42.863|   2857| 123027|  40102|   166002|          50787   |          16084   |
| 19.0/(FRExt)| 10-Ja | 13:17 |                          akiyo_qcif.yuv|  300 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 41.625| 43.300| 44.509| 48.667| 49.624| 50.026|   2364| 128425|  35145|   165950|          46505   |          12131   |
| 19.0/(FRExt)| 10-Ja | 13:28 |                          akiyo_qcif.yuv|  300 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  1 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 41.625| 43.300| 44.509| 49.808| 50.507| 50.884|   2364| 150282|  55387|   208049|          50054   |          12139   |
